@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":21:13:21:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":61:13:61:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":88:13:88:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":118:13:118:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":168:13:168:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":213:13:213:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":232:13:232:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":281:13:281:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":335:13:335:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":657:13:657:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\polarfire-soc-discovery-kit-reference-design_REPO_N2\MPFS_DISCOVERY_MIV_RV32_CFG1\component\syn_comps.v":761:13:761:25|User defined pragma syn_black_box detected
